url,label
https://google.com,0
https://www.google.com,0
https://youtube.com,0
https://www.youtube.com,0
https://github.com,0
https://www.github.com,0
https://microsoft.com,0
https://www.microsoft.com,0
https://amazon.com,0
https://www.amazon.com,0
https://apple.com,0
https://www.apple.com,0
https://wikipedia.org,0
https://www.wikipedia.org,0
https://linkedin.com,0
https://www.linkedin.com,0
http://paypal-login-verify.xyz/account,1
http://secure-login-verify.xyz/account,1
http://bank-account-update.xyz/login,1
http://paypal-security-check.top/verify,1
http://account-password-update.click/login,1
http://secure-bank-login.online/verify,1
http://192.168.1.10/login,1
http://192.168.0.20/verify/account,1
http://login-confirm-account.xyz/update,1
http://verify-user-password.top/login,1
http://secure-account-bank.click/signin,1
http://paypal-login-security.online/confirm,1
http://bank-verify-account.xyz/password,1
http://account-update-login.top/secure,1
